temperature,humidity,ventilation rate,volume,CO2_variance
23.73,50.84,0.0,58.72,0.5060249999998936
23.74,50.82,0.0,58.72,9.205299999999644
23.74,50.83,0.0,58.72,0.14579999999998036
23.75,50.8,0.0,58.72,0.13519999999999055
23.78,50.73,0.0,58.72,0.12005000000006016
23.93,50.04,0.0,58.72,0.020000000000031833
24.04,50.67,0.0,55.49,0.3697999999999628
24.06,50.69,0.0,55.49,0.36125000000006763
24.08,50.71,0.0,55.49,0.3361999999999944
24.11,50.75,0.0,55.49,0.31204999999997124
24.15,54.08,0.0,72.66,0.4512499999999352
24.2,41.91,0.0,72.8,2.332800000000054
24.22,41.95,0.0,72.8,2.2898000000000924
24.22,50.92,0.0,55.49,0.2244499999999345
24.23,40.28,0.0,55.49,0.2664500000000133
24.26,40.36,0.0,55.49,0.22445000000004875
24.27,40.39,0.0,55.49,0.2112500000000591
24.28,40.43,0.0,55.49,0.19220000000003806
24.29,40.5,0.0,55.49,0.1624500000000609
24.3,40.53,0.0,55.49,0.15679999999996944
24.3,40.55,0.0,55.49,0.151249999999975
24.31,40.57,0.0,55.49,0.14044999999998553
24.31,40.59,0.0,55.49,0.13520000000007923
24.32,36.75,0.0,58.72,0.6272000000000051
24.32,40.63,0.0,55.49,0.12005000000000446
24.32,40.66,0.0,55.49,0.11520000000000873
24.32,40.7,0.0,55.49,0.10125000000002046
24.32,40.73,0.0,55.49,0.09679999999994898
24.33,36.74,0.0,58.72,1.2100000000001125
24.34,36.72,0.0,58.72,0.5724500000000535
24.35,58.76,0.0,72.8,0.14579999999998036
24.35,58.78,0.0,72.8,0.14579999999998036
24.35,58.81,0.0,72.8,0.15124999999991245
24.35,58.83,0.0,72.8,0.15124999999991245
24.36,58.86,0.0,72.8,0.15679999999996944
24.36,58.88,0.0,72.8,0.16245000000009333
24.36,58.91,0.0,72.8,0.16245000000002852
24.36,58.94,0.0,72.8,0.1681999999999578
24.36,58.98,0.0,72.8,0.16820000000015561
24.36,59.05,0.0,72.8,0.18000000000015007
24.37,40.66,0.0,55.49,0.08820000000000669
24.4,52.9,0.0,55.49,0.13519999999999055
24.43,52.93,0.0,55.49,0.13004999999999536
24.43,59.66,0.0,72.8,0.28125
24.44,59.67,0.0,72.8,0.2888000000000795
24.44,59.68,0.0,72.8,0.2887999999999067
24.45,59.68,0.0,72.8,0.296449999999986
24.46,59.69,0.0,72.8,0.6084000000000461
24.47,59.68,0.0,72.8,0.31204999999997124
24.49,55.24,0.0,72.8,0.048166666666662805
24.49,59.66,0.0,72.8,0.31999999999987266
24.5,55.25,0.0,72.8,0.03063333333330698
24.5,55.26,0.0,72.8,0.01445000000001237
24.56,49.17,0.0,58.72,0.00844999999996985
24.59,44.16,0.0,72.8,0.9112500000003376
24.59,44.18,0.0,72.8,0.8844499999999033
24.59,49.16,0.0,58.72,0.007200000000027831
24.59,53.06,0.0,55.49,0.09245000000000293
24.6,44.18,0.0,72.8,1.7556333333332281
24.61,44.18,0.0,72.8,0.871200000000066
24.62,44.18,0.0,72.8,0.8580499999999285
24.62,49.15,0.0,58.72,0.007200000000000545
24.62,53.08,0.0,55.49,0.08819999999995894
24.63,44.17,0.0,72.8,0.8450000000000887
24.65,36.36,0.0,58.72,0.3280499999999558
24.65,49.16,0.0,58.72,0.00604999999997649
24.66,49.17,0.0,58.72,0.0060500000000015
24.68,53.11,0.0,55.49,0.07605000000001685
24.71,49.22,0.0,58.72,0.0060500000000015
24.73,53.12,0.0,55.49,0.07220000000001987
24.76,53.13,0.0,55.49,0.06844999999998065
24.79,53.13,0.0,55.49,0.06480000000002538
24.82,33.17,0.0,70.09,0.000800000000005366
24.82,53.13,0.0,55.49,0.06125000000002785
24.85,53.13,0.0,55.49,0.05779999999997217
24.91,33.16,0.0,70.09,0.1680999999999972
24.92,33.11,0.0,70.09,0.09245000000000293
24.92,33.12,0.0,70.09,0.09244999999995404
24.92,33.14,0.0,70.09,0.18063333333329445
24.92,33.15,0.0,70.09,0.08820000000000669
24.92,53.11,0.0,55.49,0.048050000000035946
24.93,33.06,0.0,70.09,0.10125000000002046
24.93,33.09,0.0,70.09,0.096800000000024
24.95,53.1,0.0,55.49,0.044999999999986356
24.96,36.69,0.0,58.72,0.16245000000002852
24.97,36.69,0.0,58.72,0.125
24.97,43.33,0.0,70.09,0.5940499999997869
24.97,43.34,0.0,70.09,0.5832000000002898
24.98,53.09,0.0,55.49,0.04204999999998945
24.99,29.73,0.0,70.09,2.976800000000133
